;
;                          Classification Codes (CL)
;,,,,,,,,,
; SG = spiral galaxy           DN = diffuse nebula       OC = open cluster
; EG = elliptical galaxy       PN = planetary nebula     GC = globular cluster
; IG = irregular galaxy        DK = dark nebula          DS = double star
;                                                        QS = quasar
;       Compiled by Darrell W. Green - CompuServe [72406,1736]
;
Catalogue,Messier,Constellation,Class,Right ascension,Declination,Magnitude,Angular size,Burnham,Remarks
NGC3079,,Ursa Major,Spiral galaxy,10h 2m,55° 41',10.6,8x1,,"Sb - edge-on, long streak"
NGC3115,,Sextans,Elliptical galaxy,10h 5.2m,-7° 43',9.2,4.0x1.2,*,E6 - Spindle Nebula
NGC3132,,Vela,Planetary nebula,10h 7.7m,-40° 26',8.2,84x53,!,cnt str:10 - Eight-Burst
NGC3147,,Draco,Spiral galaxy,10h 16.9m,73° 24',10.9,3.0x2.3,*,Sb
NGC3184,,Ursa Major,Spiral galaxy,10h 18.3m,41° 25',9.8,5.6x5.6,,Sc -face on/Mu UMa in fld
NGC3201,,Vela,Globular cluster,10h 17.6m,-46° 25',6.8,7.7,,X - loose structured GC
NGC3242,,Hydra,Planetary nebula,10h 24.8m,-18° 38',8.6,40x35,*,Ghost of Jupiter/Eye Neb.
NGC3310,,Ursa Major,Spiral galaxy,10h 38.7m,53° 30',10.9,3.0x2.0,,S(B)bp
NGC3344,,Leo Minor,Spiral galaxy,10h 43.5m,24° 55',10,6.0x5.1,,Sc - fine face-on spiral
NGC3351,M 95,Leo,Spiral galaxy,10h 44m,11° 42',9.7,6.1x3.9,*,S(B)b - theta structure
NGC3368,M 96,Leo,Spiral galaxy,10h 46.8m,11° 49',9.1,5x4,*,Sbp - pair with M95
NGC3372,,Carina,Diffuse nebula,10h 43.8m,-59° 52',5,85x80,!,Eta Car & Keyhole Nebula
NGC3377,,Leo,Elliptical galaxy,10h 47.7m,13° 59',10.2,1.9x1.0,,E5
NGC3379,M105,Leo,Elliptical galaxy,10h 47.8m,12° 35',9.2,2.2x2.0,,"E1 -group with 3384, 3389"
NGC3384,,Leo,Elliptical galaxy,10h 48.3m,12° 38',10.1,4.4x1.4,,E7
NGC3389,,Leo,Spiral galaxy,10h 48.5m,12° 32',11.8,2.3x1.0,,Sc
NGC3412,,Leo,Elliptical galaxy,10h 50.9m,13° 25',10.6,2.4x1.1,,E5
NGC3486,,Leo Minor,Spiral galaxy,11h 0.4m,28° 58',10.3,5.5x4.2,,Sc - fine multiple-arm SG
NGC3504,,Leo Minor,Spiral galaxy,11h 3.2m,27° 58',11.1,2.0x1.8,,Sb
NGC3511,,Crater,Spiral galaxy,11h 3.4m,-23° 5',11.9,4.6x2.0,,Sc
NGC3521,,Leo,Spiral galaxy,11h 5.8m,0° 2',8.9,6x4,*,Sb - multi-arm spiral
NGC3532,,Carina,Open cluster,11h 6.4m,-58° 40',3,55,!,number: 150 - fine object
NGC3556,M108,Ursa Major,Spiral galaxy,11h 11.5m,55° 40',10.1,7.7x1.3,*,Sc - edge-on/M97 in field
NGC3585,,Hydra,Elliptical galaxy,11h 13.3m,-26° 45',10,1.5x0.8,,E5
NGC3587,M 97,Ursa Major,Planetary nebula,11h 14.8m,55° 1',12,3.4x3.0,!,cnt str m:14 - Owl Nebula
NGC3607,,Leo,Elliptical galaxy,11h 16.9m,18° 3',10,1.7x1.5,,E1
NGC3621,,Hydra,Spiral galaxy,11h 18.3m,-32° 49',9.9,5x2,,Sc - coarse structure
NGC3623,M 65,Leo,Spiral galaxy,11h 18.9m,13° 5',9.3,8.0x2.5,*,"Sb -M66, NGC3628 in field"
NGC3626,,Leo,Spiral galaxy,11h 20.1m,18° 21',10.9,1.6x1.1,,Sb  (NGC 3622)
NGC3627,M 66,Leo,Spiral galaxy,11h 20.2m,12° 59',9,8.0x2.5,*,"Sb -M65, NGC3628 in field"
NGC3628,,Leo,Spiral galaxy,11h 20.3m,13° 36',9.5,12.0x1.5,,Sb - edge-on
